id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1364319821144424453,1362806518630998019,2021-02-23 16:02:47 EST,2021-02-23,16:02:47,-0500,168817873,pitbullatlarge,Ian J Harvey Bark With Byte contrarian media guru,,@andy_samm @piersmorgan @adeelamini worked on a show 11 years ago for two months.....wow. Then launches witch hunt. I'm a freelancer too. If I don't like the client I quit. I don't go back 11 years later and snipe and whine. He's out of order and this is another attempt at cancel culture. Piers rocks!! Always has.,en,[],[],[],1,0,0,[],[],https://twitter.com/Pitbullatlarge/status/1364319821144424453,False,,0,,,,,,,,"[{'screen_name': 'andy_samm', 'name': 'Andy Sammons', 'id': '186153765'}, {'screen_name': 'piersmorgan', 'name': 'Piers Morgan', 'id': '216299334'}, {'screen_name': 'adeelamini', 'name': 'Adeel Amini', 'id': '19240082'}]",,,,
1364319752957624320,1364001882511970309,2021-02-23 16:02:31 EST,2021-02-23,16:02:31,-0500,1260327563576119296,trescommmas,Russ Hanneman's Shadow,,@Jim_Jordan Lol... Republicans are the masters of cancel culture.  Look at what they've been doing to Colin Kaepernick for the last several years...  https://t.co/OD7zKMvOOe,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/Eu8JlKZXIAY8Xbi.jpg'],0,0,0,[],[],https://twitter.com/TresCommmas/status/1364319752957624320,False,,1,https://pbs.twimg.com/tweet_video_thumb/Eu8JlKZXIAY8Xbi.jpg,,,,,,,"[{'screen_name': 'Jim_Jordan', 'name': 'Rep. Jim Jordan', 'id': '18166778'}]",,,,
1364319705222291457,1364313150049370115,2021-02-23 16:02:20 EST,2021-02-23,16:02:20,-0500,743590440922845184,moderatescience,Dave,,@hksbks “Get rid of the guy who says things I don’t like” proclaim the folks who fervently oppose “cancel culture.”,en,[],[],[],0,0,0,[],[],https://twitter.com/ModerateScience/status/1364319705222291457,False,,0,,,,,,,,"[{'screen_name': 'hksbks', 'name': 'HKS 📚', 'id': '234466304'}]",,,,
1364319685412552714,1364280058072993793,2021-02-23 16:02:15 EST,2021-02-23,16:02:15,-0500,1359794413644439553,jimtk1975,Jono,,@loveablenerd Cancel culture will cancel anyone or anything that gets in the way of their ultimate goal which is the cancellation of western civilisation itself. The logic of repressive tolerance only victims (minority groups) can be weaponized to achieve that.  I AM @ginacarano (IAMSPARTACUS),en,"[{'screen_name': 'ginacarano', 'name': 'gina carano 🕯', 'id': '46671731'}]",[],[],0,0,1,[],[],https://twitter.com/jimtk1975/status/1364319685412552714,False,,0,,,,,,,,"[{'screen_name': 'loveablenerd', 'name': 'Loveable Nerd', 'id': '255862319'}]",,,,
1364319640072171530,1364304584093687812,2021-02-23 16:02:04 EST,2021-02-23,16:02:04,-0500,51243739,robbiejee,💥RedShirtRob💥,,@BradMossEsq So... cancel culture?,en,[],[],[],0,0,0,[],[],https://twitter.com/RobbieJee/status/1364319640072171530,False,,0,,,,,,,,"[{'screen_name': 'BradMossEsq', 'name': 'Bradley P. Moss', 'id': '373522445'}]",,,,
1364319624314126344,1364319387000467456,2021-02-23 16:02:00 EST,2021-02-23,16:02:00,-0500,15279165,juliettelucie,juliette plants trees 🌳🌲,,@bfishbfish that’s cancel culture for you. you’re being silenced!,en,[],[],[],0,0,0,[],[],https://twitter.com/juliettelucie/status/1364319624314126344,False,,0,,,,,,,,"[{'screen_name': 'bfishbfish', 'name': 'Rebecca Fishbein', 'id': '37613042'}]",,,,
1364319620363145218,1364311609770995713,2021-02-23 16:01:59 EST,2021-02-23,16:01:59,-0500,835141038876442627,patoles2,Pat Oles,,@newsmax @EliseStefanik Cancel culture in the GQP?  https://t.co/Xop471Tmtw,es,[],['https://twitter.com/huffpost/status/1364311312591966211?s=21'],[],0,0,0,[],[],https://twitter.com/PatOles2/status/1364319620363145218,False,https://twitter.com/huffpost/status/1364311312591966211?s=21,0,,,,,,,,"[{'screen_name': 'newsmax', 'name': 'Newsmax', 'id': '20545835'}, {'screen_name': 'EliseStefanik', 'name': 'Elise Stefanik', 'id': '109579534'}]",,,,
1364319596208078860,1364293795794272264,2021-02-23 16:01:54 EST,2021-02-23,16:01:54,-0500,3088992009,tnchristian4evr,Hope Lives,,@TheTNHoller @etsu @ETSU_MBB GOP = Cancel Culture,en,[],[],[],0,0,0,[],[],https://twitter.com/TNChristian4Evr/status/1364319596208078860,False,,0,,,,,,,,"[{'screen_name': 'TheTNHoller', 'name': 'The Tennessee Holler', 'id': '1088862056705593344'}, {'screen_name': 'etsu', 'name': 'ETSU', 'id': '39405688'}, {'screen_name': 'ETSU_MBB', 'name': ""ETSU Men's Basketball"", 'id': '2310212678'}]",,,,
1364319590843486209,1364319590843486209,2021-02-23 16:01:52 EST,2021-02-23,16:01:52,-0500,808023126919376897,rantegalitarian,Ranting Party Rockers in the Hou🦀 🏺 Egalitarian,,Cancel culture truly knows no bounds  https://t.co/2LARyoPazS,en,[],[],['https://pbs.twimg.com/media/Eu8JcBfVIAAZAuS.png'],0,0,3,[],[],https://twitter.com/rantegalitarian/status/1364319590843486209,False,,1,https://pbs.twimg.com/media/Eu8JcBfVIAAZAuS.png,,,,,,,[],,,,
1364319577417674759,1364294361001902087,2021-02-23 16:01:49 EST,2021-02-23,16:01:49,-0500,190751640,drchrisnewton,Dr Chris Newton,,"@TrevorGreetham @GoodwinMJ Try telling my friends who've been suspended, hauled before disciplinary committees, and feel unable to express their views because of a culture of intimidation that cancel culture is 'student union politics'. You have absolutely no idea what you're talking about.",en,[],[],[],1,0,1,[],[],https://twitter.com/drchrisnewton/status/1364319577417674759,False,,0,,,,,,,,"[{'screen_name': 'TrevorGreetham', 'name': 'Trevor Greetham', 'id': '3374232255'}, {'screen_name': 'GoodwinMJ', 'name': 'Matt Goodwin', 'id': '36974428'}]",,,,
1364319575219781637,1364302740856406029,2021-02-23 16:01:49 EST,2021-02-23,16:01:49,-0500,3383203972,kimberlya561,KimberlyA,,@C567Dave @Phil_Lewis_ @bariweiss It’s not cancel culture when they are literally going against school policy.    Jesus.,en,[],[],[],1,0,0,[],[],https://twitter.com/KimberlyA561/status/1364319575219781637,False,,0,,,,,,,,"[{'screen_name': 'C567Dave', 'name': 'DaveC567', 'id': '1257500900999852035'}, {'screen_name': 'Phil_Lewis_', 'name': 'philip lewis', 'id': '286998245'}, {'screen_name': 'bariweiss', 'name': 'Bari Weiss', 'id': '289548939'}]",,,,
